MODEL_PROB_BUCKET,bets,hits,hit_rate,avg_edge,avg_model_prob,avg_odds
0.70-0.80,18,8.0,0.4444444444444444,0.2535239088884869,0.75,33.666666666666664
0.60-0.70,276,109.0,0.39492753623188404,0.293827261423913,0.65,373.0471014492754
0.40-0.50,2693,1028.0,0.3817304121797252,-0.005275182340957077,0.4192877152195295,175.26030449313035
0.50-0.60,107,39.0,0.3644859813084112,0.15546970782459255,0.5740377034366313,99.95327102803738
0.20-0.30,14864,5117.0,0.3442545748116254,-0.12855481865358062,0.2572676809807578,299.2859930032293
0.30-0.40,37293,12277.0,0.3292038720403293,-0.03186140478342198,0.34202552952104387,280.8128335076288
0.10-0.20,10108,2966.0,0.29343094578551643,-0.18970475128041372,0.14874903879332574,325.01810447170556
0.00-0.10,8606,2252.0,0.2616778991401348,-0.262279788971841,0.054285951209536436,357.28968161747616
0.80-0.90,0,0.0,,,,
0.90-1.00,0,0.0,,,,
