team_abbr,player_id,player_name,batting_order,last_seen_date
TB,670764,Taylor Walls,9,2026-04-06
TB,641584,Jake Fraley,3,2026-04-06
TB,802415,Chandler Simpson,5,2026-04-06
TB,666018,Jonathan Aranda,2,2026-04-06
TB,663743,Nick Fortes,6,2026-04-06
TB,650490,Yandy Díaz,1,2026-04-06
TB,810938,Ben Williamson,8,2026-04-06
TB,691406,Junior Caminero,4,2026-04-06
TB,656775,Cedric Mullins,7,2026-04-06
CHC,664023,Ian Happ,3,2026-04-06
CHC,608324,Alex Bregman,2,2026-04-06
CHC,683737,Michael Busch,5,2026-04-06
CHC,608348,Carson Kelly,4,2026-04-06
CHC,691718,Pete Crow-Armstrong,8,2026-04-06
CHC,665804,Miguel Amaya,9,2026-04-06
CHC,621020,Dansby Swanson,6,2026-04-06
CHC,663538,Nico Hoerner,1,2026-04-06
CHC,807713,Matt Shaw,7,2026-04-06
CLE,800050,Chase DeLauter,2,2026-04-06
CLE,677587,Brayan Rocchio,9,2026-04-06
CLE,672356,Gabriel Arias,8,2026-04-06
CLE,666310,Bo Naylor,6,2026-04-06
CLE,608070,José Ramírez,3,2026-04-06
CLE,680757,Steven Kwan,1,2026-04-06
CLE,700932,Kyle Manzardo,4,2026-04-06
CLE,656555,Rhys Hoskins,5,2026-04-06
CLE,692216,CJ Kayfus,7,2026-04-06
KC,695600,Carter Jensen,5,2026-04-06
KC,663697,Jonathan India,6,2026-04-06
KC,686555,Isaac Collins,8,2026-04-06
KC,521692,Salvador Perez,4,2026-04-06
KC,686469,Vinnie Pasquantino,3,2026-04-06
KC,664728,Kyle Isbel,9,2026-04-06
KC,672580,Maikel Garcia,1,2026-04-06
KC,695506,Jac Caglianone,7,2026-04-06
KC,677951,Bobby Witt Jr.,2,2026-04-06
MIA,681715,Heriberto Hernández,5,2026-04-06
MIA,805300,Jakob Marsee,3,2026-04-06
MIA,691594,Javier Sanoja,9,2026-04-06
MIA,669364,Xavier Edwards,7,2026-04-06
MIA,682663,Agustín Ramírez,2,2026-04-06
MIA,677870,Leo Jiménez,8,2026-04-06
MIA,681393,Connor Norby,6,2026-04-06
MIA,596103,Austin Slater,1,2026-04-06
MIA,672640,Otto Lopez,4,2026-04-06
CIN,682829,Elly De La Cruz,3,2026-04-06
CIN,701398,Sal Stewart,4,2026-04-06
CIN,680574,Matt McLain,2,2026-04-06
CIN,663647,Ke'Bryan Hayes,9,2026-04-06
CIN,666181,Will Benson,7,2026-04-06
CIN,670770,TJ Friedl,1,2026-04-06
CIN,668715,Spencer Steer,6,2026-04-06
CIN,663886,Tyler Stephenson,8,2026-04-06
CIN,553993,Eugenio Suárez,5,2026-04-06
WSH,691781,Brady House,3,2026-04-06
WSH,682928,CJ Abrams,5,2026-04-06
WSH,683083,Nasim Nuñez,6,2026-04-06
WSH,686452,Drew Millas,8,2026-04-06
WSH,695734,Daylen Lile,4,2026-04-06
WSH,677588,José Tena,7,2026-04-06
WSH,695578,James Wood,1,2026-04-06
WSH,696285,Jacob Young,9,2026-04-06
WSH,671277,Luis García Jr.,2,2026-04-06
STL,669357,Nolan Gorman,5,2026-04-06
STL,691023,Jordan Walker,4,2026-04-06
STL,687363,Victor Scott II,9,2026-04-06
STL,665877,José Fermín,8,2026-04-06
STL,802139,JJ Wetherholt,1,2026-04-06
