CACHE_KEY,FETCHED_AT_UTC,LAT,LON,WIND_DEG,WIND_MPH,TEMP_F,HUMIDITY,PRECIP_PROB,WEATHER_CODE
"27.98,-82.5062",2026-06-02T19:55:17Z,27.98,-82.5062,314,9.0,91.72,50,0,1100
"39.9061,-75.1665",2026-06-02T19:55:18Z,39.9061,-75.1665,39,9.2,76.53,30,0,1101
"42.3467,-71.0972",2026-06-02T19:55:19Z,42.3467,-71.0972,114,2.8,74.66,33,0,1102
"38.873,-77.0074",2026-06-02T19:55:20Z,38.873,-77.0074,15,6.9,75.0,28,0,1000
"39.0979,-84.5068",2026-06-02T19:55:21Z,39.0979,-84.5068,25,12.4,78.13,32,0,1000
"33.8907,-84.4677",2026-06-02T19:55:22Z,33.8907,-84.4677,59,9.4,80.24,54,5,4000
"44.9817,-93.2776",2026-06-02T19:55:23Z,44.9817,-93.2776,188,8.4,82.6,34,0,1000
"43.028,-87.9712",2026-06-02T19:55:23Z,43.028,-87.9712,73,9.2,67.53,41,0,1000
"38.6226,-90.1928",2026-06-02T19:55:24Z,38.6226,-90.1928,91,11.5,81.7,43,0,1000
"41.9484,-87.6553",2026-06-02T19:55:25Z,41.9484,-87.6553,62,13.6,68.25,49,0,1000
"29.7573,-95.3555",2026-06-02T19:55:26Z,29.7573,-95.3555,73,8.6,90.0,62,0,1102
"33.8003,-117.8827",2026-06-02T19:55:27Z,33.8003,-117.8827,242,7.1,73.26,53,0,1000
"33.4453,-112.0667",2026-06-02T19:55:28Z,33.4453,-112.0667,261,5.7,99.68,11,0,1000
"47.5914,-122.3325",2026-06-02T19:55:29Z,47.5914,-122.3325,304,7.0,73.76,43,0,1000
