DATE,GAME_PK,PLAYER_ID,PLAYER_NAME,TEAM,OPP,AT_BATS,HITS,DOUBLES,TRIPLES,HOME_RUNS,TOTAL_BASES,RUNS,RBI,WALKS,STRIKEOUTS,HBP,STOLEN_BASES,SAC_FLIES,PA
2026-03-26,823649,687462,Spencer Horwitz,pittsburgh pirates,new york mets,4,0,0,0,0,0,0,0,0,1,0,0,0,4
2026-03-26,823649,664040,Brandon Lowe,pittsburgh pirates,new york mets,4,2,0,0,2,8,2,3,0,0,0,0,0,4
2026-03-26,823649,668804,Bryan Reynolds,pittsburgh pirates,new york mets,4,1,0,0,0,1,0,0,0,2,0,0,0,4
2026-03-26,823649,665833,Oneil Cruz,pittsburgh pirates,new york mets,5,1,0,0,0,1,1,0,0,3,0,0,0,5
2026-03-26,823649,669707,Jared Triolo,pittsburgh pirates,new york mets,4,1,1,0,0,2,1,0,0,1,0,0,0,4
2026-03-26,823649,680779,Henry Davis,pittsburgh pirates,new york mets,4,1,1,0,0,2,0,1,0,0,0,0,0,4
2026-03-26,823649,656811,Ryan O'Hearn,pittsburgh pirates,new york mets,4,2,0,0,1,5,2,1,0,1,0,0,0,4
2026-03-26,823649,542303,Marcell Ozuna,pittsburgh pirates,new york mets,4,0,0,0,0,0,0,0,0,1,0,0,0,4
2026-03-26,823649,693304,Nick Gonzales,pittsburgh pirates,new york mets,4,2,1,0,0,3,1,2,0,1,0,0,0,4
2026-03-26,823649,666182,Bo Bichette,new york mets,pittsburgh pirates,4,0,0,0,0,0,0,1,0,3,0,0,1,5
2026-03-26,823649,682626,Francisco Alvarez,new york mets,pittsburgh pirates,4,2,0,0,1,5,2,1,0,0,1,0,0,5
2026-03-26,823649,683146,Brett Baty,new york mets,pittsburgh pirates,5,1,0,1,0,3,1,3,0,2,0,0,0,5
2026-03-26,823649,701807,Carson Benge,new york mets,pittsburgh pirates,3,1,0,0,1,4,2,1,2,2,0,1,0,5
2026-03-26,823649,543760,Marcus Semien,new york mets,pittsburgh pirates,5,2,1,0,0,3,0,1,0,1,0,0,0,5
2026-03-26,823649,596019,Francisco Lindor,new york mets,pittsburgh pirates,2,0,0,0,0,0,3,0,3,0,0,0,0,5
2026-03-26,823649,665742,Juan Soto,new york mets,pittsburgh pirates,4,2,0,0,0,2,1,1,1,0,0,0,0,5
2026-03-26,823649,593871,Jorge Polanco,new york mets,pittsburgh pirates,3,1,0,0,0,1,1,1,2,1,0,0,0,5
2026-03-26,823649,673357,Luis Robert Jr.,new york mets,pittsburgh pirates,4,2,0,0,0,2,1,2,1,1,0,0,0,5
2026-03-26,823812,672820,Lenyn Sosa,chicago white sox,milwaukee brewers,2,0,0,0,0,0,0,0,0,1,0,0,0,2
2026-03-26,823812,671976,Tristan Peters,chicago white sox,milwaukee brewers,1,0,0,0,0,0,0,0,0,1,0,0,0,1
2026-03-26,823812,682668,Luisangel Acuña,chicago white sox,milwaukee brewers,3,1,0,0,0,1,0,0,0,0,0,0,0,3
2026-03-26,823812,808959,Munetaka Murakami,chicago white sox,milwaukee brewers,2,1,0,0,1,4,1,1,2,0,0,0,0,4
2026-03-26,823812,805367,Chase Meidroth,chicago white sox,milwaukee brewers,2,1,0,0,1,4,1,1,2,1,0,0,0,4
2026-03-26,823812,695657,Colson Montgomery,chicago white sox,milwaukee brewers,4,0,0,0,0,0,0,0,0,3,0,0,0,4
2026-03-26,823812,669720,Austin Hays,chicago white sox,milwaukee brewers,4,1,0,0,0,1,0,0,0,2,0,0,0,4
2026-03-26,823812,624512,Reese McGuire,chicago white sox,milwaukee brewers,1,0,0,0,0,0,0,0,0,1,0,0,0,1
2026-03-26,823812,700337,Edgar Quero,chicago white sox,milwaukee brewers,3,0,0,0,0,0,0,0,0,2,0,0,0,3
2026-03-26,823812,643217,Andrew Benintendi,chicago white sox,milwaukee brewers,2,0,0,0,0,0,0,0,0,2,0,0,0,2
2026-03-26,823812,677592,Everson Pereira,chicago white sox,milwaukee brewers,3,0,0,0,0,0,0,0,0,3,0,0,0,3
2026-03-26,823812,656537,Derek Hill,chicago white sox,milwaukee brewers,1,0,0,0,0,0,0,0,0,1,0,0,0,1
2026-03-26,823812,678246,Miguel Vargas,chicago white sox,milwaukee brewers,3,0,0,0,0,0,0,0,1,3,0,0,0,4
2026-03-26,823812,650859,Luis Rengifo,milwaukee brewers,chicago white sox,2,0,0,0,0,0,0,0,0,0,0,0,0,2
2026-03-26,823812,687401,Joey Ortiz,milwaukee brewers,chicago white sox,3,2,0,0,0,2,2,2,0,0,0,0,0,3
2026-03-26,823812,592885,Christian Yelich,milwaukee brewers,chicago white sox,4,2,0,0,0,2,2,1,1,0,0,0,0,5
2026-03-26,823812,641343,Jake Bauers,milwaukee brewers,chicago white sox,5,2,0,0,1,5,2,3,0,2,0,0,0,5
2026-03-26,823812,686217,Sal Frelick,milwaukee brewers,chicago white sox,3,1,0,0,1,4,2,2,2,0,0,0,0,5
2026-03-26,823812,683734,Andrew Vaughn,milwaukee brewers,chicago white sox,4,1,0,0,0,1,0,1,0,0,0,0,0,4
2026-03-26,823812,663604,Brandon Lockridge,milwaukee brewers,chicago white sox,1,0,0,0,0,0,2,0,0,0,0,0,0,1
2026-03-26,823812,669003,Garrett Mitchell,milwaukee brewers,chicago white sox,1,0,0,0,0,0,1,1,2,0,0,0,0,4
2026-03-26,823812,666152,David Hamilton,milwaukee brewers,chicago white sox,2,1,0,0,0,1,2,1,2,0,0,1,0,5
2026-03-26,823812,663368,Blake Perkins,milwaukee brewers,chicago white sox,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2026-03-26,823812,661388,William Contreras,milwaukee brewers,chicago white sox,3,1,1,0,0,2,1,3,2,0,0,0,0,5
2026-03-26,823812,668930,Brice Turang,milwaukee brewers,chicago white sox,4,2,1,0,0,3,0,0,1,1,0,0,0,5
2026-03-26,824704,691781,Brady House,washington nationals,chicago cubs,5,2,0,0,1,5,2,2,0,2,0,0,0,5
2026-03-26,824704,682928,CJ Abrams,washington nationals,chicago cubs,4,1,0,0,0,1,0,2,0,1,0,0,0,4
2026-03-26,824704,683083,Nasim Nuñez,washington nationals,chicago cubs,2,0,0,0,0,0,1,1,1,1,1,1,0,4
2026-03-26,824704,665953,Andrés Chaparro,washington nationals,chicago cubs,3,2,1,0,0,3,1,0,0,0,0,0,0,3
2026-03-26,824704,686894,Joey Wiemer,washington nationals,chicago cubs,3,3,0,0,1,6,2,1,1,0,0,0,0,4
2026-03-26,824704,695734,Daylen Lile,washington nationals,chicago cubs,5,1,0,0,0,1,1,1,0,2,0,0,0,5
2026-03-26,824704,695578,James Wood,washington nationals,chicago cubs,5,0,0,0,0,0,0,0,0,4,0,0,0,5
2026-03-26,824704,696285,Jacob Young,washington nationals,chicago cubs,4,1,0,0,1,4,1,2,0,1,0,0,0,4
2026-03-26,824704,660688,Keibert Ruiz,washington nationals,chicago cubs,4,1,0,0,0,1,1,0,0,1,0,0,0,4
2026-03-26,824704,671277,Luis García Jr.,washington nationals,chicago cubs,2,0,0,0,0,0,1,0,0,0,0,0,0,2
2026-03-26,824704,624424,Michael Conforto,chicago cubs,washington nationals,1,0,0,0,0,0,0,0,0,1,0,0,0,1
2026-03-26,824704,664023,Ian Happ,chicago cubs,washington nationals,5,1,0,0,0,1,0,0,0,3,0,0,0,5
2026-03-26,824704,608324,Alex Bregman,chicago cubs,washington nationals,4,1,0,0,0,1,0,0,1,1,0,0,0,5
2026-03-26,824704,683737,Michael Busch,chicago cubs,washington nationals,4,3,2,0,0,5,2,1,1,0,0,0,0,5
2026-03-26,824704,608348,Carson Kelly,chicago cubs,washington nationals,3,1,0,0,0,1,0,0,1,0,0,0,0,4
2026-03-26,824704,691718,Pete Crow-Armstrong,chicago cubs,washington nationals,5,2,0,0,0,2,0,2,0,2,0,0,0,5
2026-03-26,824704,694208,Moisés Ballesteros,chicago cubs,washington nationals,3,0,0,0,0,0,0,0,1,1,0,0,0,4
2026-03-26,824704,621020,Dansby Swanson,chicago cubs,washington nationals,2,0,0,0,0,0,1,1,2,0,0,0,0,4
2026-03-26,824704,663538,Nico Hoerner,chicago cubs,washington nationals,4,0,0,0,0,0,1,0,0,1,0,0,0,4
2026-03-26,824704,807713,Matt Shaw,chicago cubs,washington nationals,3,0,0,0,0,0,0,0,0,0,0,0,0,3
2026-03-26,824865,605170,Victor Caratini,minnesota twins,baltimore orioles,3,1,0,0,0,1,0,0,1,0,0,0,0,4
2026-03-26,824865,665019,Kody Clemens,minnesota twins,baltimore orioles,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2026-03-26,824865,686797,Brooks Lee,minnesota twins,baltimore orioles,3,0,0,0,0,0,0,0,0,2,0,0,0,3
2026-03-26,824865,668885,Austin Martin,minnesota twins,baltimore orioles,3,1,0,0,0,1,0,0,0,0,0,1,0,3
2026-03-26,824865,605137,Josh Bell,minnesota twins,baltimore orioles,3,0,0,0,0,0,0,0,1,3,0,0,0,4
2026-03-26,824865,680777,Ryan Jeffers,minnesota twins,baltimore orioles,4,1,0,0,0,1,0,0,0,1,0,0,0,4
2026-03-26,824865,668904,Royce Lewis,minnesota twins,baltimore orioles,2,0,0,0,0,0,0,0,0,0,1,0,0,3
2026-03-26,824865,663616,Trevor Larnach,minnesota twins,baltimore orioles,1,0,0,0,0,0,0,0,0,1,0,0,0,1
