DATE,PITCHER_ID,PITCHER_NAME,TEAM,OPP,INNINGS,STRIKEOUTS,PITCH_COUNT,SOURCE_SEASON,DATA_SOURCE,CURRENT_SEASON_GAMES
2026-03-28,593958,Eduardo Rodriguez,,Los Angeles Dodgers,5.0,5,79,2026,API_2026,11
2026-04-03,593958,Eduardo Rodriguez,,Atlanta Braves,7.0,3,90,2026,API_2026,11
2026-04-09,593958,Eduardo Rodriguez,,New York Mets,6.0,3,102,2026,API_2026,11
2026-04-15,593958,Eduardo Rodriguez,,Baltimore Orioles,5.0,3,98,2026,API_2026,11
2026-04-22,593958,Eduardo Rodriguez,,Chicago White Sox,5.0,4,96,2026,API_2026,11
2026-04-29,593958,Eduardo Rodriguez,,Milwaukee Brewers,4.2,4,87,2026,API_2026,11
2026-05-05,593958,Eduardo Rodriguez,,Pittsburgh Pirates,7.0,7,103,2026,API_2026,11
2026-05-10,593958,Eduardo Rodriguez,,New York Mets,8.1,4,100,2026,API_2026,11
2026-05-16,593958,Eduardo Rodriguez,,Colorado Rockies,5.1,6,91,2026,API_2026,11
2026-05-21,593958,Eduardo Rodriguez,,Colorado Rockies,7.0,4,99,2026,API_2026,11
2026-05-26,593958,Eduardo Rodriguez,,San Francisco Giants,6.0,6,94,2026,API_2026,11
2026-03-31,594798,Jacob deGrom,,Baltimore Orioles,4.2,7,79,2026,API_2026,11
2026-04-06,594798,Jacob deGrom,,Seattle Mariners,5.0,6,78,2026,API_2026,11
2026-04-12,594798,Jacob deGrom,,Los Angeles Dodgers,6.0,9,93,2026,API_2026,11
2026-04-17,594798,Jacob deGrom,,Seattle Mariners,4.0,3,88,2026,API_2026,11
2026-04-23,594798,Jacob deGrom,,Pittsburgh Pirates,5.2,10,89,2026,API_2026,11
2026-04-28,594798,Jacob deGrom,,New York Yankees,6.0,5,93,2026,API_2026,11
2026-05-05,594798,Jacob deGrom,,New York Yankees,6.1,7,94,2026,API_2026,11
2026-05-10,594798,Jacob deGrom,,Chicago Cubs,7.0,10,94,2026,API_2026,11
2026-05-16,594798,Jacob deGrom,,Houston Astros,6.0,4,94,2026,API_2026,11
2026-05-22,594798,Jacob deGrom,,Los Angeles Angels,3.0,3,65,2026,API_2026,11
2026-05-27,594798,Jacob deGrom,,Houston Astros,6.0,6,97,2026,API_2026,11
2026-03-27,607536,Kyle Freeland,,Miami Marlins,4.1,2,81,2026,API_2026,10
2026-04-01,607536,Kyle Freeland,,Toronto Blue Jays,5.0,6,88,2026,API_2026,10
2026-04-07,607536,Kyle Freeland,,Houston Astros,6.1,5,81,2026,API_2026,10
2026-04-12,607536,Kyle Freeland,,San Diego Padres,0.0,0,0,2026,API_2026,10
2026-04-28,607536,Kyle Freeland,,Cincinnati Reds,5.0,4,79,2026,API_2026,10
2026-05-03,607536,Kyle Freeland,,Atlanta Braves,4.1,7,98,2026,API_2026,10
2026-05-09,607536,Kyle Freeland,,Philadelphia Phillies,5.0,4,87,2026,API_2026,10
2026-05-15,607536,Kyle Freeland,,Arizona Diamondbacks,3.2,3,81,2026,API_2026,10
2026-05-20,607536,Kyle Freeland,,Texas Rangers,4.2,4,89,2026,API_2026,10
2026-05-26,607536,Kyle Freeland,,Los Angeles Dodgers,4.0,4,81,2026,API_2026,10
2026-03-26,643377,Griffin Jax,,St. Louis Cardinals,0.2,0,14,2026,API_2026,17
2026-03-28,643377,Griffin Jax,,St. Louis Cardinals,0.1,0,9,2026,API_2026,17
2026-03-30,643377,Griffin Jax,,Milwaukee Brewers,1.0,1,15,2026,API_2026,17
2026-04-01,643377,Griffin Jax,,Milwaukee Brewers,0.0,0,20,2026,API_2026,17
2026-04-05,643377,Griffin Jax,,Minnesota Twins,2.0,0,30,2026,API_2026,17
2026-04-10,643377,Griffin Jax,,New York Yankees,1.0,2,13,2026,API_2026,17
2026-04-11,643377,Griffin Jax,,New York Yankees,0.1,1,8,2026,API_2026,17
2026-04-16,643377,Griffin Jax,,Chicago White Sox,0.2,1,22,2026,API_2026,17
2026-04-17,643377,Griffin Jax,,Pittsburgh Pirates,0.2,0,14,2026,API_2026,17
2026-04-18,643377,Griffin Jax,,Pittsburgh Pirates,1.0,2,13,2026,API_2026,17
2026-04-21,643377,Griffin Jax,,Cincinnati Reds,1.1,3,29,2026,API_2026,17
2026-04-26,643377,Griffin Jax,,Minnesota Twins,2.1,2,31,2026,API_2026,17
2026-05-02,643377,Griffin Jax,,San Francisco Giants,2.2,2,45,2026,API_2026,17
2026-05-07,643377,Griffin Jax,,Boston Red Sox,4.0,3,59,2026,API_2026,17
2026-05-13,643377,Griffin Jax,,Toronto Blue Jays,5.0,1,66,2026,API_2026,17
2026-05-19,643377,Griffin Jax,,Baltimore Orioles,5.0,6,62,2026,API_2026,17
2026-05-26,643377,Griffin Jax,,Baltimore Orioles,2.0,3,38,2026,API_2026,17
2026-03-27,645261,Sandy Alcantara,,Colorado Rockies,7.0,5,73,2026,API_2026,12
2026-04-01,645261,Sandy Alcantara,,Chicago White Sox,9.0,7,93,2026,API_2026,12
2026-04-07,645261,Sandy Alcantara,,Cincinnati Reds,8.1,6,95,2026,API_2026,12
2026-04-12,645261,Sandy Alcantara,,Detroit Tigers,6.0,4,100,2026,API_2026,12
