DATE,GAME_PK,PITCHER_ID,PITCHER_NAME,TEAM,OPP,INNINGS,STRIKEOUTS,WALKS_ALLOWED,HITS_ALLOWED,HOME_RUNS_ALLOWED,EARNED_RUNS,BATTERS_FACED,PITCH_COUNT,K_R5,IP_R5,PITCHES_R5,BB_R5,HR_ALLOWED_R5,H_ALLOWED_R5,ER_R5,K_PER_IP_R5,PITCHES_PER_IP_R5,ERA_R5,WHIP_R5,K_PER_9_R5,BB_PER_9_R5,HR_PER_9_R5,K_R10,IP_R10,PITCHES_R10,BB_R10,HR_ALLOWED_R10,H_ALLOWED_R10,ER_R10,K_PER_IP_R10,PITCHES_PER_IP_R10,ERA_R10,WHIP_R10,K_PER_9_R10,BB_PER_9_R10,HR_PER_9_R10,K_R15,IP_R15,PITCHES_R15,BB_R15,HR_ALLOWED_R15,H_ALLOWED_R15,ER_R15,K_PER_IP_R15,PITCHES_PER_IP_R15,ERA_R15,WHIP_R15,K_PER_9_R15,BB_PER_9_R15,HR_PER_9_R15
2026-03-26,823649,694973,Paul Skenes,pittsburgh pirates,new york mets,0.6666666666666666,1,2,4,0,5,9,37,1.0,0.6666666666666666,37.0,2.0,0.0,4.0,5.0,1.5,55.5,67.5,9.0,13.5,27.0,0.0,1.0,0.6666666666666666,37.0,2.0,0.0,4.0,5.0,1.5,55.5,67.5,9.0,13.5,27.0,0.0,1.0,0.6666666666666666,37.0,2.0,0.0,4.0,5.0,1.5,55.5,67.5,9.0,13.5,27.0,0.0
2026-03-26,823486,641302,Tyler Alexander,texas rangers,philadelphia phillies,1.0,0,0,0,0,0,3,9,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,823081,592773,Ryne Stanek,st. louis cardinals,tampa bay rays,1.0,1,3,0,0,0,6,26,1.0,1.0,26.0,3.0,0.0,0.0,0.0,1.0,26.0,0.0,3.0,9.0,27.0,0.0,1.0,1.0,26.0,3.0,0.0,0.0,0.0,1.0,26.0,0.0,3.0,9.0,27.0,0.0,1.0,1.0,26.0,3.0,0.0,0.0,0.0,1.0,26.0,0.0,3.0,9.0,27.0,0.0
2026-03-26,823081,669461,Matthew Liberatore,st. louis cardinals,tampa bay rays,5.0,2,2,7,1,1,24,78,2.0,5.0,78.0,2.0,1.0,7.0,1.0,0.4,15.6,1.8,1.8,3.6,3.6,1.8,2.0,5.0,78.0,2.0,1.0,7.0,1.0,0.4,15.6,1.8,1.8,3.6,3.6,1.8,2.0,5.0,78.0,2.0,1.0,7.0,1.0,0.4,15.6,1.8,1.8,3.6,3.6,1.8
2026-03-26,823081,676617,Riley O'Brien,st. louis cardinals,tampa bay rays,1.3333333333333333,2,0,1,0,0,5,17,2.0,1.3333333333333333,17.0,0.0,0.0,1.0,0.0,1.5,12.75,0.0,0.75,13.5,0.0,0.0,2.0,1.3333333333333333,17.0,0.0,0.0,1.0,0.0,1.5,12.75,0.0,0.75,13.5,0.0,0.0,2.0,1.3333333333333333,17.0,0.0,0.0,1.0,0.0,1.5,12.75,0.0,0.75,13.5,0.0,0.0
2026-03-26,823081,677865,Justin Bruihl,st. louis cardinals,tampa bay rays,0.3333333333333333,0,1,1,0,2,3,9,0.0,0.3333333333333333,9.0,1.0,0.0,1.0,2.0,0.0,27.0,54.0,6.0,0.0,27.0,0.0,0.0,0.3333333333333333,9.0,1.0,0.0,1.0,2.0,0.0,27.0,54.0,6.0,0.0,27.0,0.0,0.0,0.3333333333333333,9.0,1.0,0.0,1.0,2.0,0.0,27.0,54.0,6.0,0.0,27.0,0.0
2026-03-26,823081,668941,JoJo Romero,st. louis cardinals,tampa bay rays,0.6666666666666666,0,0,2,0,0,4,9,0.0,0.6666666666666666,9.0,0.0,0.0,2.0,0.0,0.0,13.5,0.0,3.0,0.0,0.0,0.0,0.0,0.6666666666666666,9.0,0.0,0.0,2.0,0.0,0.0,13.5,0.0,3.0,0.0,0.0,0.0,0.0,0.6666666666666666,9.0,0.0,0.0,2.0,0.0,0.0,13.5,0.0,3.0,0.0,0.0,0.0
2026-03-26,823081,688297,Chris Roycroft,st. louis cardinals,tampa bay rays,0.3333333333333333,0,0,3,0,1,4,13,0.0,0.3333333333333333,13.0,0.0,0.0,3.0,1.0,0.0,39.0,27.0,9.0,0.0,0.0,0.0,0.0,0.3333333333333333,13.0,0.0,0.0,3.0,1.0,0.0,39.0,27.0,9.0,0.0,0.0,0.0,0.0,0.3333333333333333,13.0,0.0,0.0,3.0,1.0,0.0,39.0,27.0,9.0,0.0,0.0,0.0
2026-03-26,823081,694335,Matt Svanson,st. louis cardinals,tampa bay rays,0.3333333333333333,0,0,3,0,3,4,16,0.0,0.3333333333333333,16.0,0.0,0.0,3.0,3.0,0.0,48.0,81.0,9.0,0.0,0.0,0.0,0.0,0.3333333333333333,16.0,0.0,0.0,3.0,3.0,0.0,48.0,81.0,9.0,0.0,0.0,0.0,0.0,0.3333333333333333,16.0,0.0,0.0,3.0,3.0,0.0,48.0,81.0,9.0,0.0,0.0,0.0
2026-03-26,823081,672782,Yoendrys Gómez,tampa bay rays,st. louis cardinals,2.0,1,1,2,0,0,9,28,1.0,2.0,28.0,1.0,0.0,2.0,0.0,0.5,14.0,0.0,1.5,4.5,4.5,0.0,1.0,2.0,28.0,1.0,0.0,2.0,0.0,0.5,14.0,0.0,1.5,4.5,4.5,0.0,1.0,2.0,28.0,1.0,0.0,2.0,0.0,0.5,14.0,0.0,1.5,4.5,4.5,0.0
2026-03-26,823081,643377,Griffin Jax,tampa bay rays,st. louis cardinals,0.6666666666666666,0,0,1,1,1,3,14,0.0,0.6666666666666666,14.0,0.0,1.0,1.0,1.0,0.0,21.0,13.5,1.5,0.0,0.0,13.5,0.0,0.6666666666666666,14.0,0.0,1.0,1.0,1.0,0.0,21.0,13.5,1.5,0.0,0.0,13.5,0.0,0.6666666666666666,14.0,0.0,1.0,1.0,1.0,0.0,21.0,13.5,1.5,0.0,0.0,13.5
2026-03-26,823486,656222,Jalen Beeks,texas rangers,philadelphia phillies,1.3333333333333333,2,0,1,0,0,5,28,2.0,1.3333333333333333,28.0,0.0,0.0,1.0,0.0,1.5,21.0,0.0,0.75,13.5,0.0,0.0,2.0,1.3333333333333333,28.0,0.0,0.0,1.0,0.0,1.5,21.0,0.0,0.75,13.5,0.0,0.0,2.0,1.3333333333333333,28.0,0.0,0.0,1.0,0.0,1.5,21.0,0.0,0.75,13.5,0.0,0.0
2026-03-26,823081,664076,Garrett Cleavinger,tampa bay rays,st. louis cardinals,0.3333333333333333,0,0,2,0,2,3,9,0.0,0.3333333333333333,9.0,0.0,0.0,2.0,2.0,0.0,27.0,54.0,6.0,0.0,0.0,0.0,0.0,0.3333333333333333,9.0,0.0,0.0,2.0,2.0,0.0,27.0,54.0,6.0,0.0,0.0,0.0,0.0,0.3333333333333333,9.0,0.0,0.0,2.0,2.0,0.0,27.0,54.0,6.0,0.0,0.0,0.0
