PITCHER_ID,PITCHER_NAME,TEAM,STRIKEOUTS,WALKS_ALLOWED,HITS_ALLOWED,HOME_RUNS_ALLOWED,EARNED_RUNS,BATTERS_FACED,PITCH_COUNT,INNINGS,K_PER_9,BB_PER_9,HR_PER_9,ERA
694819,Jacob Misiorowski,milwaukee brewers,75,16,29,4,12,202,800,51.0,13.235294117647058,2.823529411764706,0.7058823529411765,2.1176470588235294
650911,Cristopher Sánchez,philadelphia phillies,69,14,57,3,13,236,846,55.333333333333336,11.22289156626506,2.2771084337349397,0.4879518072289156,2.1144578313253013
667755,José Soriano,los angeles angels,65,30,42,7,14,235,965,56.333333333333336,10.384615384615385,4.792899408284024,1.1183431952662721,2.2366863905325443
656302,Dylan Cease,toronto blue jays,65,22,37,3,18,188,808,43.333333333333336,13.5,4.569230769230769,0.6230769230769231,3.738461538461538
668909,Gavin Williams,cleveland guardians,64,23,36,8,19,224,851,56.333333333333336,10.224852071005916,3.6745562130177514,1.2781065088757395,3.0355029585798814
594798,Jacob deGrom,texas rangers,61,10,38,7,15,194,802,48.666666666666664,11.28082191780822,1.8493150684931507,1.2945205479452055,2.7739726027397262
693645,Cam Schlittler,new york yankees,60,11,40,1,10,208,798,53.333333333333336,10.125,1.85625,0.16874999999999998,1.6875
808967,Yoshinobu Yamamoto,los angeles dodgers,58,14,41,6,16,218,877,56.0,9.321428571428571,2.25,0.9642857142857143,2.5714285714285716
657746,Joe Ryan,minnesota twins,58,10,43,5,21,206,834,50.666666666666664,10.302631578947368,1.7763157894736843,0.8881578947368421,3.730263157894737
690997,Nolan McLean,new york mets,58,18,36,4,20,207,834,50.0,10.44,3.24,0.72,3.6
683004,Jack Leiter,texas rangers,58,17,49,7,27,211,836,48.66666666666667,10.726027397260273,3.143835616438356,1.2945205479452053,4.993150684931506
676106,Emerson Hancock,seattle mariners,57,9,41,9,16,201,824,52.666666666666664,9.740506329113925,1.5379746835443038,1.5379746835443038,2.7341772151898733
