DATE,GAME_PK,ENTITY_ID,ENTITY_NAME,TEAM,OPP,AT_BATS,HITS,DOUBLES,TRIPLES,HOME_RUNS,TOTAL_BASES,RUNS,RBI,WALKS,STRIKEOUTS,HBP,STOLEN_BASES,SAC_FLIES,PA,HRR,HRR_R5,TB_R5,H_R5,BB_R5,K_R5,HR_R5,SB_R5,PA_R5,AB_R5,HBP_R5,SF_R5,AVG_R5,OBP_R5,SLG_R5,OPS_R5,BB_RATE_R5,H_RATE_R5,TB_PER_PA_R5,HRR_PER_PA_R5,HRR_R10,TB_R10,H_R10,BB_R10,K_R10,HR_R10,SB_R10,PA_R10,AB_R10,HBP_R10,SF_R10,AVG_R10,OBP_R10,SLG_R10,OPS_R10,BB_RATE_R10,H_RATE_R10,TB_PER_PA_R10,HRR_PER_PA_R10,HRR_R15,TB_R15,H_R15,BB_R15,K_R15,HR_R15,SB_R15,PA_R15,AB_R15,HBP_R15,SF_R15,AVG_R15,OBP_R15,SLG_R15,OPS_R15,BB_RATE_R15,H_RATE_R15,TB_PER_PA_R15,HRR_PER_PA_R15,PLAYER_TYPE,INNINGS,WALKS_ALLOWED,HITS_ALLOWED,HOME_RUNS_ALLOWED,EARNED_RUNS,BATTERS_FACED,PITCH_COUNT,IP_R5,PITCHES_R5,HR_ALLOWED_R5,H_ALLOWED_R5,ER_R5,K_PER_IP_R5,PITCHES_PER_IP_R5,ERA_R5,WHIP_R5,K_PER_9_R5,BB_PER_9_R5,HR_PER_9_R5,IP_R10,PITCHES_R10,HR_ALLOWED_R10,H_ALLOWED_R10,ER_R10,K_PER_IP_R10,PITCHES_PER_IP_R10,ERA_R10,WHIP_R10,K_PER_9_R10,BB_PER_9_R10,HR_PER_9_R10,IP_R15,PITCHES_R15,HR_ALLOWED_R15,H_ALLOWED_R15,ER_R15,K_PER_IP_R15,PITCHES_PER_IP_R15,ERA_R15,WHIP_R15,K_PER_9_R15,BB_PER_9_R15,HR_PER_9_R15
2026-03-28,823161,669208,Ryan Bliss,seattle mariners,cleveland guardians,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BATTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-29,823810,691620,Jeferson Quero,milwaukee brewers,chicago white sox,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,BATTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01,822835,690022,Ryan Ritter,colorado rockies,toronto blue jays,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0.0,0.4,0.2,0.2,0.0,0.6,0.0,0.0,1.4,1.4,0.0,0.0,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.28571428571428575,0.0,0.14285714285714288,0.14285714285714288,0.28571428571428575,0.4,0.2,0.2,0.0,0.6,0.0,0.0,1.4,1.4,0.0,0.0,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.28571428571428575,0.0,0.14285714285714288,0.14285714285714288,0.28571428571428575,0.4,0.2,0.2,0.0,0.6,0.0,0.0,1.4,1.4,0.0,0.0,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.28571428571428575,0.0,0.14285714285714288,0.14285714285714288,0.28571428571428575,BATTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-02,825105,691783,Jordan Lawlar,arizona diamondbacks,atlanta braves,2.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,1,1.0,0.0,0.0,3.0,3.0,2.0,1.6,1.0,0.2,1.0,0.2,0.2,3.4,3.0,0.2,0.0,0.3333333333333333,0.41176470588235287,0.5333333333333333,0.9450980392156862,0.05882352941176471,0.29411764705882354,0.4705882352941177,0.5882352941176471,1.8333333333333333,1.6666666666666667,1.0,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,3.3333333333333335,3.0,0.16666666666666666,0.0,0.3333333333333333,0.4000000000000001,0.5555555555555556,0.9555555555555557,0.049999999999999996,0.3,0.5,0.5499999999999999,1.8333333333333333,1.6666666666666667,1.0,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,3.3333333333333335,3.0,0.16666666666666666,0.0,0.3333333333333333,0.4000000000000001,0.5555555555555556,0.9555555555555557,0.049999999999999996,0.3,0.5,0.5499999999999999,BATTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-03,824621,672386,Alejandro Kirk,toronto blue jays,chicago white sox,4.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0,0.0,0.0,0.0,4.0,2.0,1.4,1.4,0.6,0.4,0.4,0.2,0.0,4.4,4.0,0.0,0.0,0.15,0.22727272727272727,0.35,0.5772727272727273,0.09090909090909091,0.13636363636363635,0.3181818181818181,0.3181818181818181,1.4,1.4,0.6,0.4,0.4,0.2,0.0,4.4,4.0,0.0,0.0,0.15,0.22727272727272727,0.35,0.5772727272727273,0.09090909090909091,0.13636363636363635,0.3181818181818181,0.3181818181818181,1.4,1.4,0.6,0.4,0.4,0.2,0.0,4.4,4.0,0.0,0.0,0.15,0.22727272727272727,0.35,0.5772727272727273,0.09090909090909091,0.13636363636363635,0.3181818181818181,0.3181818181818181,BATTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-05,824620,680718,Addison Barger,toronto blue jays,chicago white sox,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.2,0.2,0.6,0.0,0.0,2.4,2.2,0.0,0.0,0.09090909090909091,0.16666666666666666,0.18181818181818182,0.3484848484848485,0.08333333333333334,0.08333333333333334,0.16666666666666669,0.16666666666666669,0.5,0.25,0.125,0.375,0.75,0.0,0.0,2.875,2.375,0.0,0.125,0.05263157894736842,0.17391304347826086,0.10526315789473684,0.2791762013729977,0.13043478260869565,0.043478260869565216,0.08695652173913043,0.17391304347826086,0.5,0.25,0.125,0.375,0.75,0.0,0.0,2.875,2.375,0.0,0.125,0.05263157894736842,0.17391304347826086,0.10526315789473684,0.2791762013729977,0.13043478260869565,0.043478260869565216,0.08695652173913043,0.17391304347826086,BATTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-05,825102,467793,Carlos Santana,arizona diamondbacks,atlanta braves,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.2,0.2,0.2,0.2,1.0,0.0,0.0,3.2,3.0,0.0,0.0,0.06666666666666667,0.125,0.06666666666666667,0.19166666666666665,0.0625,0.0625,0.0625,0.0625,0.375,0.375,0.25,0.25,1.0,0.0,0.0,3.25,3.0,0.0,0.0,0.08333333333333333,0.15384615384615385,0.125,0.27884615384615385,0.07692307692307693,0.07692307692307693,0.11538461538461539,0.11538461538461539,0.375,0.375,0.25,0.25,1.0,0.0,0.0,3.25,3.0,0.0,0.0,0.08333333333333333,0.15384615384615385,0.125,0.27884615384615385,0.07692307692307693,0.07692307692307693,0.11538461538461539,0.11538461538461539,BATTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-06,823002,666185,Dylan Carlson,chicago cubs,tampa bay rays,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BATTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-06,824456,672356,Gabriel Arias,cleveland guardians,kansas city royals,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1,0.0,0.0,0.0,2.0,1.0,2.2,2.4,1.0,0.2,1.0,0.4,0.0,3.0,2.8,0.0,0.0,0.35714285714285715,0.39999999999999997,0.8571428571428572,1.2571428571428571,0.06666666666666667,0.3333333333333333,0.7999999999999999,0.7333333333333334,1.2,1.3,0.6,0.2,1.2,0.2,0.0,3.2,3.0,0.0,0.0,0.19999999999999998,0.25,0.43333333333333335,0.6833333333333333,0.0625,0.18749999999999997,0.40625,0.37499999999999994,1.2,1.3,0.6,0.2,1.2,0.2,0.0,3.2,3.0,0.0,0.0,0.19999999999999998,0.25,0.43333333333333335,0.6833333333333333,0.0625,0.18749999999999997,0.40625,0.37499999999999994,BATTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07,824457,692216,CJ Kayfus,cleveland guardians,kansas city royals,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2,0.0,0.0,0.0,4.0,2.0,1.8,1.6,0.8,0.0,0.8,0.2,0.0,2.8,2.8,0.0,0.0,0.28571428571428575,0.28571428571428575,0.5714285714285715,0.8571428571428572,0.0,0.28571428571428575,0.5714285714285715,0.6428571428571429,1.25,1.0,0.5,0.25,1.0,0.125,0.0,3.125,2.75,0.125,0.0,0.18181818181818182,0.28,0.36363636363636365,0.6436363636363637,0.08,0.16,0.32,0.4,1.25,1.0,0.5,0.25,1.0,0.125,0.0,3.125,2.75,0.125,0.0,0.18181818181818182,0.28,0.36363636363636365,0.6436363636363637,0.08,0.16,0.32,0.4,BATTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-08,824050,600869,Jeimer Candelario,los angeles angels,atlanta braves,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.6,0.4,0.2,0.2,1.2,0.0,0.0,3.0,2.6,0.2,0.0,0.07692307692307693,0.2,0.15384615384615385,0.35384615384615387,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.19999999999999998,0.7142857142857143,0.5714285714285714,0.2857142857142857,0.14285714285714285,1.1428571428571428,0.0,0.0,2.857142857142857,2.5714285714285716,0.14285714285714285,0.0,0.11111111111111109,0.19999999999999998,0.22222222222222218,0.42222222222222217,0.049999999999999996,0.09999999999999999,0.19999999999999998,0.25,0.7142857142857143,0.5714285714285714,0.2857142857142857,0.14285714285714285,1.1428571428571428,0.0,0.0,2.857142857142857,2.5714285714285716,0.14285714285714285,0.0,0.11111111111111109,0.19999999999999998,0.22222222222222218,0.42222222222222217,0.049999999999999996,0.09999999999999999,0.19999999999999998,0.25,BATTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
