GAME_DATE,GAME_PK,HOME_TEAM,AWAY_TEAM,VENUE,START_TIME_LOCAL,HOME_PROBABLE_PITCHER_ID,HOME_PROBABLE_PITCHER_NAME,AWAY_PROBABLE_PITCHER_ID,AWAY_PROBABLE_PITCHER_NAME
2026-06-02,822971,Tampa Bay Rays,Detroit Tigers,Tropicana Field,2026-06-02T22:40:00Z,571927,Steven Matz,656427,Jack Flaherty
2026-06-02,823460,Philadelphia Phillies,San Diego Padres,Citizens Bank Park,2026-06-02T22:40:00Z,605400,Aaron Nola,681190,Randy Vásquez
2026-06-02,824754,Boston Red Sox,Baltimore Orioles,Fenway Park,2026-06-02T22:45:00Z,813349,Connelly Early,669358,Shane Baz
2026-06-02,822728,Washington Nationals,Miami Marlins,Nationals Park,2026-06-02T22:45:00Z,663992,Richard Lovelady,669199,Lake Bachar
2026-06-02,823541,New York Yankees,Cleveland Guardians,Yankee Stadium,2026-06-02T23:05:00Z,693645,Cam Schlittler,676282,Joey Cantillo
2026-06-02,824511,Cincinnati Reds,Kansas City Royals,Great American Ball Park,2026-06-02T23:10:00Z,671096,Andrew Abbott,702070,Noah Cameron
2026-06-02,824918,Atlanta Braves,Toronto Blue Jays,Truist Park,2026-06-02T23:15:00Z,693821,Bryce Elder,592332,Kevin Gausman
2026-06-02,823700,Minnesota Twins,Chicago White Sox,Target Field,2026-06-02T23:40:00Z,687570,Connor Prielipp,663436,Davis Martin
2026-06-02,823782,Milwaukee Brewers,San Francisco Giants,American Family Field,2026-06-02T23:40:00Z,690986,Kyle Harrison,686790,Trevor McDonald
2026-06-02,823052,St. Louis Cardinals,Texas Rangers,Busch Stadium,2026-06-02T23:45:00Z,669160,Dustin May,543135,Nathan Eovaldi
2026-06-02,824675,Chicago Cubs,Athletics,Wrigley Field,2026-06-03T00:05:00Z,592791,Jameson Taillon,695611,Gage Jump
2026-06-02,824189,Houston Astros,Pittsburgh Pirates,Daikin Park,2026-06-03T00:10:00Z,681347,Mike Burrows,696149,Bubba Chandler
2026-06-02,824026,Los Angeles Angels,Colorado Rockies,Angel Stadium,2026-06-03T01:38:00Z,680570,Grayson Rodriguez,608372,Tomoyuki Sugano
2026-06-02,825079,Arizona Diamondbacks,Los Angeles Dodgers,Chase Field,2026-06-03T01:40:00Z,647336,Michael Soroka,641778,Eric Lauer
2026-06-02,823129,Seattle Mariners,New York Mets,T-Mobile Park,2026-06-03T01:40:00Z,669302,Logan Gilbert,,
